Name,Completed,ConRatio,nOrigCls,nOrigVar,KClauses,dAmoCnt,eAmoCnt,DirMax,EncMax,AvgSize,EncodeWeightSumK,ElimVars,dTime,eTime
000a41cdca43be89ed62ea3abf2d0b64-snw_13_9_pre,Success,0.9908695427065309,830517,24517,822934,379,0,13,0,5.401055408970977,0,0,3.32,0.198
002a0330958a14deb23dcc84b5489e8a-traffic_f_unknown,Success,0.9968130037832476,763101,33320,760669,940,0,7,0,3.174468085106383,0,0,0.13,1.84
0033baadbd48d3f880e9b5a733bd4950-rope_0030.shuffled,Success,0.7142857142857143,2520,1080,1800,360,0,3,0,3,0,0,0.00538,0.00153
003a77d2aa15a5f93aa2cfe79b986c9e-fclqcolor-20-15-15.shuffled-as.sat05-1270,Success,0.8596368014447677,49835,790,42840,55,0,20,0,16.363636363636363,0,0,0.0174,0.00155
0041051c73dcdd885d412a38e8b09fba-rphp4_065_shuffled,Success,0.9159361977295588,6959,520,6374,65,0,5,0,5,0,0,0.00167,0.000292
0041f01bcd7d0d1f9541cea6da79ad57-SGI_30_60_24_40_2-dir.shuffled-as.sat03-118,Success,0.23222369719867933,58758,720,13645,8093,0,30,0,3.8629679970344744,0,0,0.319,0.011
004b0f451f7d96f6a572e9e76360f51a-spg_420_280,Success,0.9996315439923767,3463100,674643,3461824,638,0,3,0,3,0,0,1.45,1000
0071b624d91ebe408b0585f8c4e34fd9-ctl_4291_567_7_unsat,Success,0.9735086063082753,154654,17850,150557,1567,0,9,0,3.153158902,0,0,0.0794,0.268
008e7716c69009090ff6bd0048dc55f8-SAT_dat.k10,Success,0.9995851298691677,202473,46169,202389,42,0,3,0,3,0,0,0.317,0.572
00a62eb89afbf27e1addf8f5c437da9b-ortholatin-7,Success,0.3913676042677013,101038,6076,39543,245,0,49,0,15.4,0,0,0.239,0.0335
00a981f385cd209d41e1efa1f5f29bac-ibm-2004-03-k70,Success,0.9752869106024034,229514,69839,223842,2836,0,3,0,3,0,0,0.426,7.48
00aefd1fc30c425075166ca051e57218-barman-pfile10-038.sas.ex.15,Success,0.7992878667584888,911908,430288,728877,33389,5751,17,240,3.8505109862033726,50122,35023,2.63,864
00b9b467c26540853360491401da61a5-minand064,Success,0.999813572,42912,14703,42904,4,0,3,0,3,0,0,0.0867,3.84
00be590675417eba2bb2585790ac392d-iso-brn008.shuffled-as.sat05-2933,Success,0.7130322580645161,3875,1617,2763,153,0,7,0,4.437908496732026,0,0,0.0041,0.00142
00e289099ea9bcef6a056a8c8ba8a3c0-ndist.b.21497,Success,0.9999896620792144,386925,279453,386921,2,0,3,0,3,0,0,0.691,0.735
00ec2992d59f85705eb8e1f4f1e01b3d-sgen4-sat-280-8,Success,0.25,672,280,168,56,0,5,0,5,0,0,0.00138,1.02e-05
00f4aca773e5675f35263dcd46b15bde-vmpc_28.shuffled-as.sat05-1957,Success,0.8046632124352332,108080,784,86968,56,0,28,0,28,0,0,0.0671,0.048
0101d013a916d903e8e618d7db1edbb3-phnf-size10-exclusive-equilarge_l3.used-as.sat04-895.sat05-4189.reshuffled-07,Success,0.7479928891055386,2248381,16489,1681773,247740,0,20,0,3.0847905061758296,0,0,86.6,1.4
01135f7a79d555bd0406f00fac22cbe2-SC21_Timetable_C_140_E_29_Cl_10_S_15,Success,0.8379529349498672,408116,88839,341982,2978,1829,4,43,6.917620137299771,23117,11901,0.347,86.7
01209700b6b45ca5fda7fbcb17765db1-slp-synthesis-aes-top27,Success,0.9995641963053531,247818,82745,247710,54,0,3,0,3,0,0,0.491,0.271
01243b47967a3d012ea22e993355c833-f8bidw,Success,0.9999762769711069,1264594,424604,1264564,15,0,3,0,3,0,0,3.6,110
013a51ccada51812061ed2d6504e23a5-gensys-icl003.shuffled-as.sat05-3824,Success,0.9394213381555153,15484,2407,14546,49,0,7,0,6.857142857142857,0,0,0.00281,0.0072
0141b82b3d2a411d8c2168119e2d7452-rope_0012.shuffled,Success,0.7142857142857143,1008,432,720,144,0,3,0,3,0,0,0.00212,0.000594
0152d286cde406747d179c36a95c2fdc-shift1add.10000,Success,0.9999709656814355,309978,219991,309969,0,1,0,4,4,4,2,0.627,741
0167ead7da1e981805564ca981f64bea-aim-200-6_0-yes1-4.cnf.mis-135.debugged,Success,0.9952956369338621,54205,27065,53950,126,0,4,0,3.007936507936508,0,0,0.0582,0.0731
01966a0fc52b2200a13f5f835275a919-SGI_30_70_27_50_3-dir.shuffled-as.sat03-169,Success,0.23511059030320786,68270,810,16051,9255,0,27,0,3.850459211237169,0,0,0.317,0.0117
019dc69c96737c3d62696c9acf3edf1b-T107.2.0,Success,0.9968763673104692,10746462,3113734,10712894,16784,0,3,0,3,0,0,65.8,111
01a74343f618546e9ad2a60849140317-crafted_n12_d6_c3_num26,Success,0.8567086433352314,8569840,42048,7341856,107280,0,66,0,3.4308724832214765,0,0,1000,2.16
01bc4d75a43a8293132d0be627341207-E04F19,Success,0.9997425570185393,295211,9044,295135,38,0,3,0,3,0,0,0.067,1.12
01bd0865ab694bc71d80b7d285d5777d-shuffling-2-s1480152728-of-bench-sat04-434.used-as.sat04-711,Success,0.9930583809647955,1518954,505536,1508410,5272,0,3,0,3,0,0,5.68,21.5
01d494c2afa4960a236bf8412e2bd08a-manol-pipe-c10id_s,Success,0.9999811457003712,530383,178837,530373,5,0,3,0,3,0,0,2.09,91.7
01dd5feb463fa80f73809718f6ff735b-10pipe_q0_k,Success,0.9849905686575784,2081358,77639,2050118,15491,0,4,0,3.005551610612614,0,0,313,1.68
0205e0724a8a912dde9ad7dfba2aee0b-003-23-80,Success,0.9989388935312297,75393,4288,75313,40,0,3,0,3,0,0,0.00144,0.0198
021686368317a35103f1f671f783d958-velev-npe-1.0-9dlx-b71,Success,0.9999093406058351,14582052,889302,14580730,661,0,3,0,3,0,0,1000,17.2
02197ec055ea06c347bf1c6ceb6facf7-slp-synthesis-aes-bottom24,Success,0.9995135077610715,197331,62686,197235,48,0,3,0,3,0,0,0.293,0.207
02257f12aa71e6622d2bf4d0f7111ebf-sgen1-unsat-139-100.cnf.mis-105.debugged,Success,0.9938984899614821,29337,14841,29158,35,0,5,0,4.0285714285714285,0,0,0.0295,0.0387
0227c865edaeda75e13eea36d57b7eed-sdiv40prop,Success,0.9999686672619887,63831,21554,63829,1,0,3,0,3,0,0,0.106,33.9
02404a08ea36dd43362bbddc578c839d-ctl_4201_555_unsat,Success,0.9736539871867606,144538,17374,140730,1424,0,9,0,3.167837078651685,0,0,0.0749,0.261
0240f5bddc39ad2f0a786c811fc434a8-SC21_Timetable_C_542_E_71_Cl_36_S_35,Success,0.8610246098030955,2762964,395916,2378980,3026,10630,4,43,11.70357352079672,149400,76541,1.83,439
0241f35c5752768d2b0580533d143a14-53-131587,Success,0.30115225952857644,834621,31983,251348,94241,0,23,0,3.725024140236203,0,0,3.49,0.169
024af9416f8c1dad1b4f974757e38d51-8-5-6,Success,0.9579011999319318,1739432,74124,1666204,9139,0,6,0,4.579822737717475,0,0,0.62,2.95
02627689047d06fbb642eef14768d751-ps_200_300_70,Success,0.9994783876440465,1533706,312901,1532906,400,0,3,0,3,0,0,0.675,585
0278eee117c3821771e2d18d710a89ad-equilarge_l5.sat05-522.reshuffled-07,Success,0.9870403369512393,18519,4478,18279,120,0,3,0,3,0,0,0.00334,1.08
028d0cc7af63e9bba5795f20e24db4f6-pyhala-braun-sat-35-4-04.shuffled,Success,0.999328042,23811,7383,23795,8,0,3,0,3,0,0,0.026,1.16
02bc149bbe801807912f651c7bad3e74-dead-dnd008.shuffled-as.sat05-3114,Success,0.79035983,13423,1568,10609,147,0,7,0,6.857142857142857,0,0,0.00867,0.00406
02c3f1d24074cba45a64d0b4b5aa0238-g2-hwmcc15deep-bobpcihm-k32,Success,0.9975611736013807,566666,204319,565284,691,0,3,0,3,0,0,1.29,179
02d8847ee38504792705d794eb93e9a7-traffic_b_unsat,Success,0.9965756236631943,742909,26061,740365,978,0,7,0,3.1758691206543967,0,0,0.103,1.7
02eef920cd1aab9ef3492fe27bf515c4-php-025-024.shuffled-as.sat05-1191,Success,0.006782007,7225,600,49,24,0,25,0,25,0,0,0.0167,2.95e-05
0309ea422084568c2b4df13b32094380-rbsat-v945c61409gyes1,Success,0.3148561285805012,61409,945,19335,12703,0,21,0,3.400771471305991,0,0,0.317,0.0163
031757c0a6797eddf3e84bcefbbdb753-b2005-p2-14x14c17h9-Ser4-0,Success,0.9529304227509131,14387361,147983,13710154,293992,15,7,63,3.0935828058515615,529,254,22.4,11.7
031c99d72be38eedacc8b402784e9821-partial-10-17-u,Success,0.6911539278093436,1111612,298516,768295,46943,0,8,0,4.431033380908762,0,0,3.16,28.2
033560dbd1b4d3545b4b40ef90aaaa29-total-5-15-u,Success,0.6859145059565522,770580,219756,528552,32687,0,7,0,4.473827516,0,0,2.06,3.05
0336f81b60baac5b8f481dd3c32861a5-mod4block_2vars_10gates_u2_autoenc-sc2009,Success,0.9894526568118258,87605,479,86681,125,0,14,0,4,0,0,0.00334,0.0264
033743e540b7f6e2114a3e6981558795-li-test4-97.shuffled-as.sat03-375,Success,0.9999859574229063,142424,36809,142422,1,0,3,0,3,0,0,0.0884,0.232
035c200bbf0a783e4ec9656cfa9b2f68-vmpc_34.shuffled-as.sat05-1958-sc2005,Success,0.8037841625788367,194072,1156,155992,68,0,34,0,34,0,0,0.163,0.0814
036b541db9d0839b0591d408ff4f77ae-aes_decry_2_rounds.debugged,Success,0.999875045,1024365,279120,1024237,64,0,3,0,3,0,0,10.1,2.22
0398e6b20de133ba8b49c74b67dad7b7-6s133-sc2014,Success,0.9995743624303906,140965,48258,140905,30,0,3,0,3,0,0,0.454,285
03a43a7ea55217f53542ed3f029963af-satch2ways16w,Success,0.990545512,50558,16883,50080,159,0,5,0,3.301886792,0,0,0.133,0.0472
03bb7baaa45980753a0e7050ae44755d-atco_enc3_opt1_03_53,Success,0.9952096337025093,3987169,1296235,3968069,4825,0,4,0,3.6528497409326426,0,0,6.47,5.82
03c44a93577c98119dc498053888937a-ctl_4291_567_1_unsat_pre,Success,0.9790959224144956,147244,15232,144166,1056,0,9,0,3.2244318181818183,0,0,0.0675,0.278
03c8a9ffce923a8cb3452f18d371eacf-rook-55-0-1,Success,0.7557172401614983,668242,172312,505002,110,0,55,0,55,0,0,0.418,0.0816
03d93f5c0378205e17260e16e463ac67-TimetableCNFEncoding_5_UNKNOWN-sc2018,Success,0.8616274478303265,1699311,302576,1464173,3174,7916,4,42,9.398016230838593,93143,46299,1.72,310
03de316ba1e90305471a3b8620cb9cd7-satsgi-n23himBHm26-p0-q248,Success,0.00511509,14076,598,72,49,0,26,0,24.408163265306122,0,0,0.0274,5.34e-05
03f25e67e52baf9fb1e782026d46c8a8-rope_0003.shuffled,Success,0.7142857142857143,252,108,180,36,0,3,0,3,0,0,0.000524,0.000163
03fb9af7b390fe9e0739150ca3410cf0-4g_5color_166_100_02,Success,0.83636762,73351130,166000,61348510,6001310,0,3,0,3,0,0,1010,29.7
04121f3fbe313b7046c9f54ac1e26c75-mod3block_2vars_9gates_u2_autoenc,Success,0.9880042580911677,62939,426,62184,178,0,13,0,3.3820224719101124,0,0,0.00247,0.0181
0412f6f3174dfc4c27ad0b61280cd739-SGI_30_40_30_20_2-dir.shuffled-as.sat05-442,Success,0.34656287351742315,65258,900,22616,7703,0,30,0,3.692068025444632,0,0,0.326,0.0131
041699620802b7ed905f93976ae60bef-longmult9,Success,0.9970126960418223,12051,4321,12015,18,0,3,0,3,0,0,0.0156,0.581
0421d8c1dec913b76dc72d781a864a80-dead-dnd006.shuffled-as.sat05-3112,Success,0.768995453,12095,1064,9301,149,0,7,0,6.778523489932886,0,0,0.00903,0.00348
04283728b84c4b0ff6cb44ca4bc4ab65-new-difficult-28-302-26-75,Success,0.2929689112753396,48442,728,14192,6875,0,28,0,3.7249454545454546,0,0,0.195,0.00939
042846b7b23a617ad1730e9eb2dbdceb-ctl_4291_567_9_unsat_pre,Success,0.9806053672832772,169583,15232,166294,1153,0,10,0,3.209887250650477,0,0,0.0763,0.32
043f806db615f7a138d4beffe3367c1a-frb45-21-1.used-as.sat04-883,Success,0.3551531808261256,61855,945,21968,11754,0,21,0,3.410923940786115,0,0,0.282,0.0155
0445a4d6be24882bac0988a055e7f379-unsat-set-a-fclqcolor-20-13-14.sat05-1278.reshuffled-07-sc2007,Success,0.8611909841387626,43124,730,37138,54,0,20,0,15.185185185185185,0,0,0.0155,0.00141
0447371bb8a97e8fe5d3cee6de1db766-UTI-20-10p0-sc2009,Success,0.8118083865146885,1058485,259616,859287,45189,0,8,0,3.6228728230321536,0,0,3.97,2.6
0458851a021830f297e5dc3418ece838-g2-T96.1.1,Success,0.9928736520996911,32322587,8905808,32092245,115171,0,3,0,3,0,0,73.1,996
0463b72200ae80c02835c027d3606c4e-battleship-13-25-sat,Success,0.091552619,2119,325,194,25,0,13,0,13,0,0,0.00357,5.18e-05
047c92e7c0a36a23d8107f4313517719-rubikcube701-sc2017,Success,0.987588408,50759,3066,50129,182,0,6,0,3.478021978021978,0,0,0.0145,0.0224
0491901f00c8663e5b49a0dbbf96412f-rbsat-v945c61409g4,Success,0.3605660408083506,61409,945,22142,11537,0,21,0,3.4191730952587327,0,0,0.28,0.0152
04935c7718d4ada8516e0d99c46df41b-g2-newton.8.3.i.smt2-cvc4,Success,0.9705212683917568,1309690,302735,1271082,19304,0,3,0,3,0,0,13.9,17.6
04dd37bd8e319df958e1e091ec60de5b-gensys-icl003.shuffled-as.sat05-2715,Success,0.9356153219233904,7362,1472,6888,36,0,6,0,5.833333333333333,0,0,0.00145,0.00299
04f8b455b41f208ea19769f051ddcb1b-equilarge_l2.shuffled-as.sat05-519,Success,0.9870654810024252,18555,4487,18315,120,0,3,0,3,0,0,0.0034,1.16
04fa0a71339fa76067a75ff448ef6f67-sat-strips-gripper-12t23.sat05-1144.reshuffled-07,Success,0.4902327782797642,92964,4940,45574,10030,0,36,0,3.364606181455633,0,0,0.546,0.118
050214ecbd9e96136fe1bc73447f1303-easier-php-035-029.sat05-1179.reshuffled-07,Success,0.003701562,17290,1015,64,29,0,35,0,35,0,0,0.0434,7.76e-05
0506d033a4ca469af10d95dbf36a86e9-em_7_4_9_cmp,Success,0.8499634866892385,15063,1677,12803,104,0,9,0,6.6923076923076925,0,0,0.0069,0.00281
0521cd68355dd16e8f7940f43003d904-crafted_n10_d6_c4_num10,Success,0.8536990718819091,11133928,42048,9505024,89400,0,98,0,3.509261744966443,0,0,1000,3.27
0533a1506eb61460bee3917f61ca4c49-SGI_30_80_29_60_7-dir.shuffled-as.sat03-217,Success,0.2888166559251268,71374,870,20614,9602,0,30,0,3.732347427619246,0,0,0.435,0.0163
0534387f90398a24495d4b7b05f9b342-dated-5-13-u,Success,0.6774081423714245,474702,138808,321567,20823,0,7,0,4.459780050905249,0,0,1.35,2.35
055f942145df4b6c9fd0d10a3f1da98e-atco_enc1_opt1_15_240,Success,0.9222427756243913,611956,61642,564372,11612,0,9,0,3.382363072683431,0,0,0.436,1.5
05680de3febd39916e496dd772cb8c19-minor032,Success,0.9993338329586143,12009,4210,12001,4,0,3,0,3,0,0,0.0174,2.18
057f143aae50b8abc3e083b7609353be-g2-T133.2.1,Success,0.994490607,14677117,4219737,14596255,40431,0,3,0,3,0,0,39.9,329
05817b4e1add561af0e1165e01fb48cc-q_query_3_l45_lambda,Success,0.9551155749915902,145663,32313,139125,690,0,9,0,4.5376811594202895,0,0,0.101,0.21
05b04d362b374569a4eb63c4e4e132b7-mp1-9_3,Success,0.7774680446015774,14708,1458,11435,372,0,8,0,4.763440860215054,0,0,0.00874,0.00474
05c52a5f9133f5afca84767f2eff98fa-g2-T103.2.1,Success,0.9960979508194738,10335595,2943830,10295265,20165,0,3,0,3,0,0,20.8,166
05e5b5a37a0d7cb5e96c82b84bbdca66-Mycielski-11-hints-3,Success,0.9823204812278769,3942415,15350,3872715,2615,0,10,0,7.108986615678776,0,0,23.6,1.35
05ed840c0a907e88e475c931f40fab83-bqwh.50.750.shuffled-as.sat05-434,Success,0.1669036001075806,26027,3572,4344,2059,0,11,0,5.094706168042739,0,0,0.089,0.00555
05eee75ab69270c322b9ef6bc1ee8604-slp-synthesis-aes-bottom22,Success,0.9994731800766283,167040,53118,166952,44,0,3,0,3,0,0,0.269,0.192
05f5567936f582edc0d3ea9903f540bc-sgen1-sat-230-100,Success,0.25,552,230,138,46,0,5,0,5,0,0,0.00101,9.69e-06
05fb1e489956554f9115344bce4e71c7-partial-10-11-u-sc2007,Success,0.6631003869792852,623806,188962,413646,23000,0,8,0,4.906478260869565,0,0,2.34,17.6
05fbbab9f0baf819ed9593cca8587629-satsgi-n24himBHm28-p0-q282,Success,0.004517356,16824,672,76,52,0,28,0,25.846153846153847,0,0,0.0346,7.13e-05
06166a0dd78f45c213add974a6711dfe-barman-pfile10-038.sas.cr.25,Success,0.16898850233558252,6280232,119262,1061287,52753,0,473,0,3.9090667829317765,0,0,32.4,22.2
0616ca6b1e0ae639d12e19ed310963a9-satcoin-genesis-SAT-4,Success,0.9999969090392058,647048,134781,647046,1,0,3,0,3,0,0,0.126,7.01
06172049e6804cbfb07f993023f2684f-VanDerWaerden_pd_2-3-29_809,Success,0.9976628215066702,86429,405,86227,101,0,3,0,3,0,0,0.00137,0.0467
