Name,Completed,nOrigCls,nOrigVar,real_time,user_time
00063d88244921d6ec46aeab6866a8e2-6s16,Success,91885,31486,30.657,15.608
000a41cdca43be89ed62ea3abf2d0b64-snw_13_9_pre,Success,830517,24517,4.943,4.216
002a0330958a14deb23dcc84b5489e8a-traffic_f_unknown,Success,763101,33320,3.372,2.642
0033baadbd48d3f880e9b5a733bd4950-rope_0030.shuffled,Success,2520,1080,0.02,0.009
003a77d2aa15a5f93aa2cfe79b986c9e-fclqcolor-20-15-15.shuffled-as.sat05-1270,Success,49835,790,0.093,0.057
0041051c73dcdd885d412a38e8b09fba-rphp4_065_shuffled,Success,6959,520,0.024,0.01
0041f01bcd7d0d1f9541cea6da79ad57-SGI_30_60_24_40_2-dir.shuffled-as.sat03-118,Success,58758,720,0.744,0.343
004b0f451f7d96f6a572e9e76360f51a-spg_420_280,Success,3463100,674643,1007.966,508.441
0059d4b1cf79efbc6e6ed50caee0448e-4col220_9_1.shuffled,Success,3885,440,0.011,0.004
005ccb378ced61c02105ed7ee0a62038-mm-2x2-5-0-s.1.shuffled-as.sat03-1496,Success,32000,60,0.082,0.045
0062dc10471119b9e13da682216b190f-ex179_11,Success,1622972,127050,5.404,3.964
0064aa2e16c9d4b18d32a45d3073fce9-desmul.miter.used-as.sat04-330,Success,179895,28902,0.675,0.525
0071b624d91ebe408b0585f8c4e34fd9-ctl_4291_567_7_unsat,Success,154654,17850,0.652,0.485
008e7716c69009090ff6bd0048dc55f8-SAT_dat.k10,Success,202473,46169,1.239,0.865
00a62eb89afbf27e1addf8f5c437da9b-ortholatin-7,Success,101038,6076,0.688,0.311
00a981f385cd209d41e1efa1f5f29bac-ibm-2004-03-k70,Success,229514,69839,8.296,4.553
00aefd1fc30c425075166ca051e57218-barman-pfile10-038.sas.ex.15,Success,911908,430288,875.99,512.27
00b9b467c26540853360491401da61a5-minand064,Success,42912,14703,3.996,2.727
00be590675417eba2bb2585790ac392d-iso-brn008.shuffled-as.sat05-2933,Success,3875,1617,0.014,0.009
00d239e486137a4f7264adb4fb57d5ae-hwb-n24-01-S1048418025.shuffled-as.sat03-1617,Success,774,162,0.005,0.001
00e289099ea9bcef6a056a8c8ba8a3c0-ndist.b.21497,Success,386925,279453,2.568,1.719
00ec2992d59f85705eb8e1f4f1e01b3d-sgen4-sat-280-8,Success,672,280,0.005,0.002
00f2eb377986e7decbc863931680a3b2-rand_net70-40-10.shuffled,Success,16661,5600,0.705,0.295
00f4aca773e5675f35263dcd46b15bde-vmpc_28.shuffled-as.sat05-1957,Success,108080,784,0.674,0.189
00f969737ba4338bd233cd3ed249bd55-3col20_5_6.shuffled,Success,140,40,0.116,0.062
0101d013a916d903e8e618d7db1edbb3-phnf-size10-exclusive-equilarge_l3.used-as.sat04-895.sat05-4189.reshuffled-07,Success,2248381,16489,90.899,88.559
0107f34364dfff8ab062193b2c71b4de-sp4-33-bin-nons-flat-noid,Success,5063,786,0.031,0.021
010c9d7a6e9e6cac63f110915d9dd56e-3col60_5_9.shuffled,Success,480,120,0.15,0.084
01135f7a79d555bd0406f00fac22cbe2-SC21_Timetable_C_140_E_29_Cl_10_S_15,Success,408116,88839,88.181,40.235
01209700b6b45ca5fda7fbcb17765db1-slp-synthesis-aes-top27,Success,247818,82745,1.203,0.958
01225987412b6f8423cc68be93385f6e-eqspwtrc16bparrc16,Success,17008,5702,9.671,4.864
01243b47967a3d012ea22e993355c833-f8bidw,Success,1264594,424604,115.94,114.003
013a51ccada51812061ed2d6504e23a5-gensys-icl003.shuffled-as.sat05-3824,Success,15484,2407,0.05,0.028
0141b82b3d2a411d8c2168119e2d7452-rope_0012.shuffled,Success,1008,432,0.007,0.006
0151bedac526ee195bc52e4134cd80e7-ssAES_4-4-8_round_8-10_faultAt_8_fault_injections_2_seed_1579630418,Success,311932,95816,38.753,33.821
