Name,Completed,Time,Result,ExitCode,Verified
magicsq-10-ccdcl,Success,460.81600000000003,SAT,10,VerSAT
magicsq-10-ccdclPlusModes,Success,5004.79,UNKNOWN,0,-
magicsq-10-ccdclPlus,Success,5004.823,UNKNOWN,0,-
magicsq-10-roundingSAT,Success,4212.699,SAT,-1,-
magicsq-10-sat4j,Success,958.563,SAT,-1,VerSAT
magicsq-11-ccdcl,Success,164.612,SAT,10,VerSAT
magicsq-11-ccdclPlusModes,Success,5009.105,UNKNOWN,0,-
magicsq-11-ccdclPlus,Success,5009.949,UNKNOWN,0,-
magicsq-11-roundingSAT,Success,1150.164,SAT,-1,-
magicsq-11-sat4j,Success,247.941,SAT,-1,VerSAT
magicsq-12-ccdcl,Success,766.07,SAT,10,VerSAT
magicsq-12-ccdclPlusModes,Success,5018.728,UNKNOWN,0,-
magicsq-12-ccdclPlus,Success,103.658,UNKNOWN,-1,-
magicsq-12-roundingSAT,Success,5000.14,UNKNOWN,-1,-
magicsq-12-sat4j,Success,3177.641,SAT,-1,VerSAT
magicsq-3-ccdcl,Success,0.029,SAT,10,VerSAT
magicsq-3-ccdclPlusModes,Success,0.011,SAT,10,VerSAT
magicsq-3-ccdclPlus,Success,0.009,SAT,10,VerSAT
magicsq-3-roundingSAT,Success,0.009,SAT,-1,-
magicsq-3-sat4j,Success,0.754,SAT,-1,VerSAT
magicsq-4-ccdcl,Success,0.038,SAT,10,VerSAT
magicsq-4-ccdclPlusModes,Success,0.427,SAT,10,VerSAT
magicsq-4-ccdclPlus,Success,0.312,SAT,10,VerSAT
magicsq-4-roundingSAT,Success,0.053,SAT,-1,-
magicsq-4-sat4j,Success,0.767,SAT,-1,VerSAT
magicsq-5-ccdcl,Success,0.177,SAT,10,VerSAT
magicsq-5-ccdclPlusModes,Success,2.543,SAT,10,VerSAT
magicsq-5-ccdclPlus,Success,3.617,SAT,10,VerSAT
magicsq-5-roundingSAT,Success,3.877,SAT,-1,-
magicsq-5-sat4j,Success,0.782,SAT,-1,VerSAT
magicsq-6-ccdcl,Success,1.423,SAT,10,VerSAT
magicsq-6-ccdclPlusModes,Success,37.038,SAT,10,VerSAT
magicsq-6-ccdclPlus,Success,37.645,SAT,10,VerSAT
magicsq-6-roundingSAT,Success,8.237,SAT,-1,-
magicsq-6-sat4j,Success,8.302,SAT,-1,VerSAT
magicsq-7-ccdcl,Success,6.563,SAT,10,VerSAT
magicsq-7-ccdclPlusModes,Success,1070.973,SAT,10,VerSAT
magicsq-7-ccdclPlus,Success,441.767,SAT,10,VerSAT
magicsq-7-roundingSAT,Success,4.406,SAT,-1,-
magicsq-7-sat4j,Success,5.311,SAT,-1,VerSAT
magicsq-8-ccdcl,Success,12.009,SAT,10,VerSAT
magicsq-8-ccdclPlusModes,Success,887.713,SAT,10,VerSAT
magicsq-8-ccdclPlus,Success,279.591,SAT,10,VerSAT
magicsq-8-roundingSAT,Success,264.834,SAT,-1,-
magicsq-8-sat4j,Success,23.451,SAT,-1,VerSAT
magicsq-9-ccdcl,Success,46.365,SAT,10,VerSAT
magicsq-9-ccdclPlusModes,Success,5001.913,UNKNOWN,0,-
magicsq-9-ccdclPlus,Success,5002.135,UNKNOWN,0,-
magicsq-9-roundingSAT,Success,631.46,SAT,-1,-
magicsq-9-sat4j,Success,17.989,SAT,-1,VerSAT
maxsquare-10-61-SAT-ccdcl,Success,660.253,SAT,10,VerSAT
maxsquare-10-61-SAT-ccdclPlusModes,Success,101.42099999999999,SAT,10,VerSAT
maxsquare-10-61-SAT-ccdclPlus,Success,462.637,SAT,10,VerSAT
maxsquare-10-61-SAT-roundingSAT,Success,5000.148,UNKNOWN,-1,-
maxsquare-10-61-SAT-sat4j,Success,5000.17,UNKNOWN,-1,-
